,points,shot_type,team,winner,Outcome
0,1,Free Throw,1610612755,1610612755,Won
1,2,2-Pointer,1610612757,1610612757,Won
2,2,2-Pointer,1610612738,1610612738,Won
3,2,2-Pointer,1610612745,1610612745,Won
4,2,2-Pointer,1610612744,1610612750,Lost
5,2,2-Pointer,1610612759,1610612758,Lost
6,2,2-Pointer,1610612761,1610612762,Lost
7,3,3-Pointer,1610612737,1610612737,Won
8,2,2-Pointer,1610612754,1610612747,Lost
9,3,3-Pointer,1610612739,1610612739,Won
10,2,2-Pointer,1610612748,1610612752,Lost
11,2,2-Pointer,1610612766,1610612741,Lost
12,2,2-Pointer,1610612740,1610612742,Lost
13,2,2-Pointer,1610612743,1610612743,Won
14,2,2-Pointer,1610612746,1610612749,Lost
15,2,2-Pointer,1610612765,1610612765,Won
16,1,Free Throw,1610612754,1610612754,Won
17,2,2-Pointer,1610612764,1610612757,Lost
18,3,3-Pointer,1610612738,1610612756,Lost
19,2,2-Pointer,1610612745,1610612761,Lost
20,2,2-Pointer,1610612750,1610612753,Lost
21,2,2-Pointer,1610612759,1610612755,Lost
22,2,2-Pointer,1610612762,1610612737,Lost
23,3,3-Pointer,1610612764,1610612751,Lost
24,3,3-Pointer,1610612756,1610612756,Won
25,3,3-Pointer,1610612746,1610612746,Won
26,3,3-Pointer,1610612757,1610612741,Lost
27,2,2-Pointer,1610612749,1610612749,Won
28,2,2-Pointer,1610612747,1610612740,Lost
29,2,2-Pointer,1610612760,1610612760,Won
30,2,2-Pointer,1610612744,1610612744,Won
31,1,Free Throw,1610612743,1610612743,Won
32,2,2-Pointer,1610612766,1610612753,Lost
33,3,3-Pointer,1610612754,1610612739,Lost
34,1,Free Throw,1610612752,1610612752,Won
35,3,3-Pointer,1610612763,1610612761,Lost
36,2,2-Pointer,1610612750,1610612750,Won
37,2,2-Pointer,1610612740,1610612740,Won
38,2,2-Pointer,1610612765,1610612738,Lost
39,3,3-Pointer,1610612739,1610612739,Won
40,2,2-Pointer,1610612751,1610612746,Lost
41,2,2-Pointer,1610612741,1610612741,Won
42,2,2-Pointer,1610612758,1610612758,Won
43,2,2-Pointer,1610612762,1610612742,Lost
44,2,2-Pointer,1610612760,1610612744,Lost
45,2,2-Pointer,1610612749,1610612749,Won
46,2,2-Pointer,1610612752,1610612752,Won
47,3,3-Pointer,1610612756,1610612756,Won
48,2,2-Pointer,1610612740,1610612740,Won
49,2,2-Pointer,1610612763,1610612763,Won
50,2,2-Pointer,1610612743,1610612743,Won
51,2,2-Pointer,1610612747,1610612760,Lost
52,2,2-Pointer,1610612739,1610612739,Won
53,2,2-Pointer,1610612764,1610612764,Won
54,2,2-Pointer,1610612755,1610612738,Lost
55,3,3-Pointer,1610612748,1610612748,Won
56,3,3-Pointer,1610612759,1610612761,Lost
57,2,2-Pointer,1610612758,1610612758,Won
58,2,2-Pointer,1610612750,1610612750,Won
59,3,3-Pointer,1610612742,1610612742,Won
60,2,2-Pointer,1610612757,1610612757,Won
61,2,2-Pointer,1610612743,1610612753,Lost
62,2,2-Pointer,1610612756,1610612737,Lost
63,2,2-Pointer,1610612751,1610612751,Won
64,2,2-Pointer,1610612747,1610612749,Lost
65,2,2-Pointer,1610612765,1610612765,Won
66,3,3-Pointer,1610612756,1610612756,Won
67,2,2-Pointer,1610612752,1610612755,Lost
68,3,3-Pointer,1610612738,1610612738,Won
69,3,3-Pointer,1610612761,1610612762,Lost
70,3,3-Pointer,1610612748,1610612748,Won
71,3,3-Pointer,1610612750,1610612763,Lost
72,2,2-Pointer,1610612740,1610612739,Lost
73,2,2-Pointer,1610612757,1610612760,Lost
74,2,2-Pointer,1610612742,1610612742,Won
75,3,3-Pointer,1610612749,1610612749,Won
76,2,2-Pointer,1610612755,1610612755,Won
77,2,2-Pointer,1610612766,1610612743,Lost
78,2,2-Pointer,1610612753,1610612748,Lost
79,2,2-Pointer,1610612764,1610612764,Won
80,1,Free Throw,1610612759,1610612737,Lost
81,1,Free Throw,1610612752,1610612752,Won
82,2,2-Pointer,1610612739,1610612739,Won
83,3,3-Pointer,1610612744,1610612747,Lost
84,2,2-Pointer,1610612758,1610612758,Won
85,2,2-Pointer,1610612763,1610612738,Lost
86,2,2-Pointer,1610612761,1610612761,Won
87,2,2-Pointer,1610612766,1610612766,Won
88,2,2-Pointer,1610612739,1610612739,Won
89,3,3-Pointer,1610612754,1610612762,Lost
90,2,2-Pointer,1610612755,1610612755,Won
91,3,3-Pointer,1610612748,1610612743,Lost
92,2,2-Pointer,1610612751,1610612752,Lost
93,2,2-Pointer,1610612741,1610612753,Lost
94,2,2-Pointer,1610612740,1610612740,Won
95,3,3-Pointer,1610612742,1610612750,Lost
96,2,2-Pointer,1610612764,1610612744,Lost
97,2,2-Pointer,1610612747,1610612757,Lost
98,3,3-Pointer,1610612753,1610612761,Lost
99,2,2-Pointer,1610612738,1610612749,Lost
100,2,2-Pointer,1610612756,1610612756,Won
101,3,3-Pointer,1610612744,1610612746,Lost
102,2,2-Pointer,1610612764,1610612764,Won
103,2,2-Pointer,1610612759,1610612766,Lost
104,2,2-Pointer,1610612741,1610612754,Lost
105,3,3-Pointer,1610612755,1610612755,Won
106,2,2-Pointer,1610612752,1610612752,Won
107,2,2-Pointer,1610612738,1610612738,Won
108,2,2-Pointer,1610612751,1610612751,Won
109,2,2-Pointer,1610612763,1610612763,Won
110,2,2-Pointer,1610612760,1610612760,Won
111,2,2-Pointer,1610612743,1610612743,Won
112,3,3-Pointer,1610612747,1610612747,Won
113,3,3-Pointer,1610612741,1610612749,Lost
114,2,2-Pointer,1610612750,1610612764,Lost
115,2,2-Pointer,1610612746,1610612746,Won
116,2,2-Pointer,1610612743,1610612743,Won
117,2,2-Pointer,1610612738,1610612738,Won
118,3,3-Pointer,1610612753,1610612753,Won
119,3,3-Pointer,1610612755,1610612755,Won
120,2,2-Pointer,1610612761,1610612761,Won
121,2,2-Pointer,1610612742,1610612742,Won
122,3,3-Pointer,1610612762,1610612762,Won
123,3,3-Pointer,1610612744,1610612747,Lost
124,3,3-Pointer,1610612757,1610612758,Lost
125,2,2-Pointer,1610612764,1610612752,Lost
126,2,2-Pointer,1610612739,1610612737,Lost
127,1,Free Throw,1610612748,1610612749,Lost
128,2,2-Pointer,1610612766,1610612766,Won
129,2,2-Pointer,1610612760,1610612756,Lost
130,2,2-Pointer,1610612741,1610612741,Won
131,2,2-Pointer,1610612745,1610612744,Lost
132,2,2-Pointer,1610612758,1610612758,Won
133,2,2-Pointer,1610612765,1610612761,Lost
134,2,2-Pointer,1610612748,1610612766,Lost
135,3,3-Pointer,1610612753,1610612754,Lost
136,2,2-Pointer,1610612752,1610612752,Won
137,2,2-Pointer,1610612763,1610612763,Won
138,1,Free Throw,1610612755,1610612738,Lost
139,3,3-Pointer,1610612759,1610612762,Lost
140,2,2-Pointer,1610612749,1610612749,Won
141,2,2-Pointer,1610612751,1610612737,Lost
142,2,2-Pointer,1610612741,1610612741,Won
143,1,Free Throw,1610612742,1610612747,Lost
144,2,2-Pointer,1610612739,1610612739,Won
145,3,3-Pointer,1610612758,1610612758,Won
146,2,2-Pointer,1610612750,1610612744,Lost
147,2,2-Pointer,1610612745,1610612757,Lost
148,2,2-Pointer,1610612743,1610612743,Won
149,3,3-Pointer,1610612765,1610612766,Lost
150,3,3-Pointer,1610612755,1610612748,Lost
151,3,3-Pointer,1610612738,1610612752,Lost
152,2,2-Pointer,1610612740,1610612753,Lost
153,2,2-Pointer,1610612737,1610612764,Lost
154,1,Free Throw,1610612751,1610612749,Lost
155,2,2-Pointer,1610612761,1610612761,Won
156,3,3-Pointer,1610612743,1610612743,Won
157,2,2-Pointer,1610612763,1610612763,Won
158,2,2-Pointer,1610612760,1610612758,Lost
159,2,2-Pointer,1610612742,1610612754,Lost
160,3,3-Pointer,1610612762,1610612759,Lost
161,2,2-Pointer,1610612757,1610612744,Lost
162,2,2-Pointer,1610612746,1610612750,Lost
