,day,team,team_id,winner_id,Score Difference,Result
130,20230224,Chicago Bulls,1610612741,1610612741,44,Won
2,20230201,Boston Celtics,1610612738,1610612738,43,Won
110,20230215,Oklahoma City Thunder,1610612760,1610612760,37,Won
50,20230207,Denver Nuggets,1610612743,1610612743,34,Won
29,20230204,Oklahoma City Thunder,1610612760,1610612760,32,Won
37,20230205,New Orleans Pelicans,1610612740,1610612740,32,Won
7,20230201,Atlanta Hawks,1610612737,1610612737,32,Won
36,20230205,Minnesota Timberwolves,1610612750,1610612750,30,Won
127,20230224,Miami Heat,1610612748,1610612749,29,Lost
52,20230208,Cleveland Cavaliers,1610612739,1610612739,28,Won
44,20230206,Oklahoma City Thunder,1610612760,1610612744,27,Lost
121,20230223,Dallas Mavericks,1610612742,1610612742,26,Won
144,20230226,Cleveland Cavaliers,1610612739,1610612739,25,Won
58,20230208,Minnesota Timberwolves,1610612750,1610612750,25,Won
102,20230214,Washington Wizards,1610612764,1610612764,25,Won
41,20230206,Chicago Bulls,1610612741,1610612741,24,Won
39,20230206,Cleveland Cavaliers,1610612739,1610612739,23,Won
136,20230225,New York Knicks,1610612752,1610612752,22,Won
71,20230210,Minnesota Timberwolves,1610612750,1610612763,21,Lost
106,20230215,New York Knicks,1610612752,1610612752,21,Won
156,20230228,Denver Nuggets,1610612743,1610612743,21,Won
142,20230226,Chicago Bulls,1610612741,1610612741,20,Won
31,20230204,Denver Nuggets,1610612743,1610612743,20,Won
42,20230206,Sacramento Kings,1610612758,1610612758,20,Won
90,20230213,Philadelphia 76ers,1610612755,1610612755,19,Won
80,20230211,San Antonio Spurs,1610612759,1610612737,19,Lost
45,20230206,Milwaukee Bucks,1610612749,1610612749,19,Won
33,20230205,Indiana Pacers,1610612754,1610612739,19,Lost
112,20230215,Los Angeles Lakers,1610612747,1610612747,18,Won
161,20230228,Portland Trail Blazers,1610612757,1610612744,18,Lost
92,20230213,Brooklyn Nets,1610612751,1610612752,18,Lost
137,20230225,Memphis Grizzlies,1610612763,1610612763,18,Won
107,20230215,Boston Celtics,1610612738,1610612738,18,Won
147,20230226,Houston Rockets,1610612745,1610612757,17,Lost
124,20230223,Portland Trail Blazers,1610612757,1610612758,17,Lost
13,20230202,Denver Nuggets,1610612743,1610612743,17,Won
126,20230224,Cleveland Cavaliers,1610612739,1610612737,17,Lost
24,20230204,Phoenix Suns,1610612756,1610612756,16,Won
139,20230225,San Antonio Spurs,1610612759,1610612762,16,Lost
11,20230202,Charlotte Hornets,1610612766,1610612741,16,Lost
151,20230227,Boston Celtics,1610612738,1610612752,15,Lost
9,20230202,Cleveland Cavaliers,1610612739,1610612739,15,Won
49,20230207,Memphis Grizzlies,1610612763,1610612763,15,Won
131,20230224,Houston Rockets,1610612745,1610612744,15,Lost
77,20230211,Charlotte Hornets,1610612766,1610612743,14,Lost
154,20230228,Brooklyn Nets,1610612751,1610612749,14,Lost
56,20230208,San Antonio Spurs,1610612759,1610612761,14,Lost
79,20230211,Washington Wizards,1610612764,1610612764,14,Won
53,20230208,Washington Wizards,1610612764,1610612764,14,Won
43,20230206,Utah Jazz,1610612762,1610612742,13,Lost
123,20230223,Golden State Warriors,1610612744,1610612747,13,Lost
75,20230210,Milwaukee Bucks,1610612749,1610612749,13,Won
66,20230210,Phoenix Suns,1610612756,1610612756,13,Won
135,20230225,Orlando Magic,1610612753,1610612754,13,Lost
113,20230216,Chicago Bulls,1610612741,1610612749,12,Lost
97,20230213,Los Angeles Lakers,1610612747,1610612757,12,Lost
38,20230206,Detroit Pistons,1610612765,1610612738,12,Lost
21,20230203,San Antonio Spurs,1610612759,1610612755,12,Lost
18,20230203,Boston Celtics,1610612738,1610612756,12,Lost
157,20230228,Memphis Grizzlies,1610612763,1610612763,12,Won
0,20230201,Philadelphia 76ers,1610612755,1610612755,11,Won
108,20230215,Brooklyn Nets,1610612751,1610612751,11,Won
72,20230210,New Orleans Pelicans,1610612740,1610612739,11,Lost
149,20230227,Detroit Pistons,1610612765,1610612766,11,Lost
34,20230205,New York Knicks,1610612752,1610612752,11,Won
68,20230210,Boston Celtics,1610612738,1610612738,11,Won
67,20230210,New York Knicks,1610612752,1610612755,11,Lost
63,20230209,Brooklyn Nets,1610612751,1610612751,11,Won
61,20230209,Denver Nuggets,1610612743,1610612753,11,Lost
100,20230214,Phoenix Suns,1610612756,1610612756,11,Won
5,20230201,San Antonio Spurs,1610612759,1610612758,10,Lost
103,20230215,San Antonio Spurs,1610612759,1610612766,10,Lost
101,20230214,Golden State Warriors,1610612744,1610612746,10,Lost
85,20230212,Memphis Grizzlies,1610612763,1610612738,10,Lost
148,20230226,Denver Nuggets,1610612743,1610612743,10,Won
98,20230214,Orlando Magic,1610612753,1610612761,10,Lost
1,20230201,Portland Trail Blazers,1610612757,1610612757,10,Won
93,20230213,Chicago Bulls,1610612741,1610612753,9,Lost
96,20230213,Washington Wizards,1610612764,1610612744,9,Lost
145,20230226,Sacramento Kings,1610612758,1610612758,9,Won
115,20230216,Los Angeles Clippers,1610612746,1610612746,9,Won
48,20230207,New Orleans Pelicans,1610612740,1610612740,9,Won
129,20230224,Oklahoma City Thunder,1610612760,1610612756,9,Lost
73,20230210,Portland Trail Blazers,1610612757,1610612760,9,Lost
62,20230209,Phoenix Suns,1610612756,1610612737,9,Lost
64,20230209,Los Angeles Lakers,1610612747,1610612749,9,Lost
111,20230215,Denver Nuggets,1610612743,1610612743,9,Won
17,20230203,Washington Wizards,1610612764,1610612757,8,Lost
40,20230206,Brooklyn Nets,1610612751,1610612746,8,Lost
160,20230228,Utah Jazz,1610612762,1610612759,8,Lost
114,20230216,Minnesota Timberwolves,1610612750,1610612764,8,Lost
88,20230213,Cleveland Cavaliers,1610612739,1610612739,8,Won
152,20230227,New Orleans Pelicans,1610612740,1610612753,8,Lost
27,20230204,Milwaukee Bucks,1610612749,1610612749,8,Won
74,20230210,Dallas Mavericks,1610612742,1610612742,8,Won
26,20230204,Portland Trail Blazers,1610612757,1610612741,8,Lost
82,20230211,Cleveland Cavaliers,1610612739,1610612739,8,Won
128,20230224,Charlotte Hornets,1610612766,1610612766,8,Won
162,20230228,Los Angeles Clippers,1610612746,1610612750,7,Lost
65,20230210,Detroit Pistons,1610612765,1610612765,7,Won
20,20230203,Minnesota Timberwolves,1610612750,1610612753,7,Lost
22,20230203,Utah Jazz,1610612762,1610612737,7,Lost
54,20230208,Philadelphia 76ers,1610612755,1610612738,7,Lost
99,20230214,Boston Celtics,1610612738,1610612749,6,Lost
3,20230201,Houston Rockets,1610612745,1610612745,6,Won
158,20230228,Oklahoma City Thunder,1610612760,1610612758,6,Lost
155,20230228,Toronto Raptors,1610612761,1610612761,6,Won
15,20230203,Detroit Pistons,1610612765,1610612765,6,Won
19,20230203,Houston Rockets,1610612745,1610612761,6,Lost
25,20230204,Los Angeles Clippers,1610612746,1610612746,6,Won
30,20230204,Golden State Warriors,1610612744,1610612744,6,Won
32,20230205,Charlotte Hornets,1610612766,1610612753,6,Lost
125,20230224,Washington Wizards,1610612764,1610612752,6,Lost
59,20230208,Dallas Mavericks,1610612742,1610612742,6,Won
116,20230223,Denver Nuggets,1610612743,1610612743,6,Won
81,20230211,New York Knicks,1610612752,1610612752,6,Won
69,20230210,Toronto Raptors,1610612761,1610612762,6,Lost
89,20230213,Indiana Pacers,1610612754,1610612762,6,Lost
105,20230215,Philadelphia 76ers,1610612755,1610612755,6,Won
87,20230213,Charlotte Hornets,1610612766,1610612766,6,Won
109,20230215,Memphis Grizzlies,1610612763,1610612763,6,Won
83,20230211,Golden State Warriors,1610612744,1610612747,6,Lost
134,20230225,Miami Heat,1610612748,1610612766,5,Lost
4,20230201,Golden State Warriors,1610612744,1610612750,5,Lost
12,20230202,New Orleans Pelicans,1610612740,1610612742,5,Lost
146,20230226,Minnesota Timberwolves,1610612750,1610612744,5,Lost
28,20230204,Los Angeles Lakers,1610612747,1610612740,5,Lost
84,20230211,Sacramento Kings,1610612758,1610612758,5,Won
55,20230208,Miami Heat,1610612748,1610612748,5,Won
119,20230223,Philadelphia 76ers,1610612755,1610612755,5,Won
120,20230223,Toronto Raptors,1610612761,1610612761,5,Won
47,20230207,Phoenix Suns,1610612756,1610612756,4,Won
46,20230207,New York Knicks,1610612752,1610612752,4,Won
91,20230213,Miami Heat,1610612748,1610612743,4,Lost
133,20230225,Detroit Pistons,1610612765,1610612761,4,Lost
78,20230211,Orlando Magic,1610612753,1610612748,4,Lost
117,20230223,Boston Celtics,1610612738,1610612738,4,Won
104,20230215,Chicago Bulls,1610612741,1610612754,4,Lost
51,20230207,Los Angeles Lakers,1610612747,1610612760,3,Lost
94,20230213,New Orleans Pelicans,1610612740,1610612740,3,Won
6,20230201,Toronto Raptors,1610612761,1610612762,3,Lost
153,20230228,Atlanta Hawks,1610612737,1610612764,3,Lost
16,20230203,Indiana Pacers,1610612754,1610612754,3,Won
60,20230208,Portland Trail Blazers,1610612757,1610612757,3,Won
35,20230205,Memphis Grizzlies,1610612763,1610612761,3,Lost
143,20230226,Dallas Mavericks,1610612742,1610612747,3,Lost
95,20230213,Dallas Mavericks,1610612742,1610612750,3,Lost
76,20230211,Philadelphia 76ers,1610612755,1610612755,3,Won
140,20230226,Milwaukee Bucks,1610612749,1610612749,3,Won
138,20230225,Philadelphia 76ers,1610612755,1610612738,3,Lost
10,20230202,Miami Heat,1610612748,1610612752,2,Lost
57,20230208,Sacramento Kings,1610612758,1610612758,2,Won
118,20230223,Orlando Magic,1610612753,1610612753,2,Won
159,20230228,Dallas Mavericks,1610612742,1610612754,2,Lost
70,20230210,Miami Heat,1610612748,1610612748,2,Won
150,20230227,Philadelphia 76ers,1610612755,1610612748,2,Lost
141,20230226,Brooklyn Nets,1610612751,1610612737,2,Lost
23,20230204,Washington Wizards,1610612764,1610612751,2,Lost
122,20230223,Utah Jazz,1610612762,1610612762,1,Won
8,20230202,Indiana Pacers,1610612754,1610612747,1,Lost
14,20230202,Los Angeles Clippers,1610612746,1610612749,1,Lost
132,20230224,Sacramento Kings,1610612758,1610612758,1,Won
86,20230212,Toronto Raptors,1610612761,1610612761,1,Won
