,xpos,ypos,game_id,team_id,hometeam_id,Status
0,,,22200770,1610612755,1610612755,Home
1,92.06636005256242,50.73529411764706,22200771,1610612757,1610612763,Away
2,94.03745072273325,50.0,22200772,1610612738,1610612738,Home
3,74.98357424441524,49.26470588235294,22200773,1610612745,1610612745,Home
4,94.82588699080158,29.411764705882355,22200774,1610612744,1610612750,Away
5,89.70105124835742,64.2156862745098,22200775,1610612759,1610612759,Home
6,5.590000152587891,50.0,22200776,1610612761,1610612762,Away
7,23.47240473061761,87.74509803921569,22200777,1610612737,1610612756,Away
8,6.258212877792378,52.450980392156865,22200778,1610612754,1610612754,Home
9,7.30946123521682,3.431372549019608,22200779,1610612739,1610612739,Home
10,10.85742444152431,31.61764705882353,22200780,1610612748,1610612752,Away
11,91.40932982917214,82.59803921568627,22200781,1610612766,1610612741,Away
12,89.17542706964521,56.86274509803921,22200782,1610612740,1610612742,Away
13,6.915243101182654,54.90196078431373,22200783,1610612743,1610612743,Home
14,20.97568988173456,34.31372549019608,22200784,1610612746,1610612749,Away
15,93.64323258869908,53.67647058823529,22200785,1610612765,1610612765,Home
16,,,22200786,1610612754,1610612754,Home
17,94.40999984741211,50.0,22200787,1610612764,1610612764,Home
18,27.283180026281208,82.59803921568627,22200788,1610612738,1610612738,Home
19,92.9862023653088,53.67647058823529,22200789,1610612745,1610612745,Home
20,5.590000152587891,50.0,22200790,1610612750,1610612750,Home
21,79.71419185282524,36.029411764705884,22200791,1610612759,1610612759,Home
22,94.40999984741211,50.0,22200792,1610612762,1610612762,Home
23,67.36202365308804,31.127450980392158,22200793,1610612764,1610612751,Away
24,8.327858081471746,2.6960784313725554,22200794,1610612756,1610612765,Away
25,71.56701708278581,25.735294117647058,22200795,1610612746,1610612752,Away
26,71.43561103810775,17.892156862745097,22200796,1610612757,1610612741,Away
27,15.062417871222076,50.98039215686274,22200797,1610612749,1610612749,Home
28,92.85479632063075,49.01960784313725,22200798,1610612747,1610612740,Away
29,5.863994743758213,50.245098039215684,22200799,1610612760,1610612760,Home
30,94.40999984741211,50.0,22200800,1610612744,1610612744,Home
31,,,22200801,1610612743,1610612743,Home
32,94.69448094612353,51.470588235294116,22200802,1610612766,1610612766,Home
33,72.22404730617609,18.137254901960784,22200803,1610612754,1610612754,Home
34,,,22200804,1610612752,1610612752,Home
35,14.799605781865965,95.34313725490196,22200805,1610612763,1610612763,Home
36,13.87976346911958,26.715686274509803,22200806,1610612750,1610612750,Home
37,92.32917214191852,53.92156862745098,22200807,1610612740,1610612740,Home
38,23.176741130091983,73.2843137254902,22200808,1610612765,1610612765,Home
39,30.305519053876477,75.49019607843137,22200809,1610612739,1610612764,Away
40,10.200394218134035,49.26470588235294,22200810,1610612751,1610612751,Home
41,10.068988173455978,74.50980392156863,22200811,1610612741,1610612741,Home
42,5.590000152587891,50.0,22200812,1610612758,1610612745,Away
43,93.24901445466492,45.588235294117645,22200813,1610612762,1610612762,Home
44,89.17542706964521,38.970588235294116,22200814,1610612760,1610612744,Away
45,87.86136662286465,37.00980392156863,22200815,1610612749,1610612757,Away
46,92.32917214191852,48.77450980392157,22200816,1610612752,1610612753,Away
47,80.3712220762155,91.42156862745098,22200817,1610612756,1610612751,Away
48,82.21090670170827,57.35294117647059,22200818,1610612740,1610612740,Home
49,92.59198423127464,53.18627450980392,22200819,1610612763,1610612763,Home
50,92.9862023653088,56.372549019607845,22200820,1610612743,1610612743,Home
51,94.40999984741211,50.0,22200821,1610612747,1610612747,Home
52,13.485545335085414,55.14705882352941,22200822,1610612739,1610612739,Home
53,91.67214191852825,57.84313725490197,22200823,1610612764,1610612764,Home
54,7.5722733245729295,47.549019607843135,22200824,1610612755,1610612738,Away
55,6.652431011826544,1.715686274509804,22200825,1610612748,1610612748,Home
56,32.14520367936925,61.029411764705884,22200826,1610612759,1610612761,Away
57,11.251642575558476,51.71568627450981,22200827,1610612758,1610612745,Away
58,9.937582128777924,43.872549019607845,22200828,1610612750,1610612762,Away
59,32.90078843626807,40.44117647058824,22200829,1610612742,1610612746,Away
60,93.77463863337714,46.32352941176471,22200830,1610612757,1610612757,Home
61,89.96386333771353,79.16666666666666,22200831,1610612743,1610612753,Away
62,79.05716162943496,74.01960784313727,22200832,1610612756,1610612737,Away
63,14.931011826544022,34.068627450980394,22200833,1610612751,1610612751,Home
64,20.68002628120894,78.67647058823529,22200834,1610612747,1610612747,Home
65,94.1688567674113,54.41176470588235,22200835,1610612765,1610612765,Home
66,67.62483574244416,70.09803921568627,22200836,1610612756,1610612754,Away
67,93.24901445466492,47.549019607843135,22200837,1610612752,1610612755,Away
68,68.54467805519053,66.91176470588235,22200838,1610612738,1610612738,Home
69,32.670827858081466,50.0,22200839,1610612761,1610612761,Home
70,4.681340341655716,95.58823529411765,22200840,1610612748,1610612748,Home
71,68.28186596583443,35.53921568627451,22200841,1610612750,1610612763,Away
72,90.48948751642575,54.65686274509803,22200842,1610612740,1610612740,Home
73,80.76544021024968,50.98039215686274,22200843,1610612757,1610612757,Home
74,93.77463863337714,46.07843137254902,22200844,1610612742,1610612758,Away
75,69.69448094612352,27.205882352941174,22200845,1610612749,1610612746,Away
76,13.091327201051248,25.245098039215684,22200846,1610612755,1610612751,Away
77,83.65637319316689,65.44117647058823,22200847,1610612766,1610612766,Home
78,5.601182654402102,53.18627450980392,22200848,1610612753,1610612753,Home
79,84.31340341655716,74.50980392156863,22200849,1610612764,1610612764,Home
80,,,22200850,1610612759,1610612737,Away
81,,,22200851,1610612752,1610612752,Home
82,6.652431011826544,50.73529411764706,22200852,1610612739,1610612739,Home
83,14.931011826544022,4.166666666666666,22200853,1610612744,1610612744,Home
84,6.521024967148489,53.18627450980392,22200854,1610612758,1610612758,Home
85,93.64323258869908,53.92156862745098,22200855,1610612763,1610612738,Away
86,7.5722733245729295,48.77450980392157,22200856,1610612761,1610612761,Home
87,92.32917214191852,52.69607843137255,22200857,1610612766,1610612766,Home
88,93.64323258869908,49.754901960784316,22200858,1610612739,1610612739,Home
89,33.98488830486202,47.794117647058826,22200859,1610612754,1610612754,Home
90,18.610381077529567,39.21568627450981,22200860,1610612755,1610612755,Home
91,31.61957950065703,64.2156862745098,22200861,1610612748,1610612748,Home
92,5.206964520367937,22.54901960784314,22200862,1610612751,1610612752,Away
93,11.251642575558476,55.392156862745104,22200863,1610612741,1610612741,Home
94,19.398817345597898,43.38235294117647,22200864,1610612740,1610612760,Away
95,91.80354796320631,2.696078431372549,22200865,1610612742,1610612742,Home
96,90.3580814717477,42.40196078431372,22200866,1610612764,1610612744,Away
97,77.4802890932983,62.5,22200867,1610612747,1610612757,Away
98,12.697109067017081,97.30392156862744,22200868,1610612753,1610612761,Away
99,86.15308804204993,62.99019607843137,22200869,1610612738,1610612749,Away
